Customer_ID,Acquisition_Date,Last_Activity_Date,Tenure_Days,Industry,Segment,Country,Company_Size_Employees,MRR,ARR,LTV,Churn_Probability,Health_Score,Churned,Churn_Date,NPS_Score,CSAT_Score,Support_Tickets,Avg_Resolution_Hours,Logins_Last_30d,Features_Used,API_Calls_Monthly,Storage_GB,Plan,Payment_Method,Expansion_Revenue,Upsell_Probability,Referrals_Made,Contract_Value,Renewal_Date
CUST-10010,2022-01-31,2022-10-14,256,Education,Enterprise,Canada,39484,8143.96,97727.48,75068.47,0.289,79.1,0,,67,4.6,18,10.2,50,16,689525,611.9,Starter,Credit Card,1250.99,0.544,7,195454.96,2023-01-31
CUST-10011,2023-03-28,2024-06-25,455,Manufacturing,Mid-Market,Canada,45734,7159.03,85908.3,326021.53,0.179,81.6,0,,38,3.0,3,25.6,52,20,509825,1398.9,Professional,Invoice,4207.13,0.521,4,85908.3,2024-03-27
CUST-10012,2022-09-09,2023-09-26,382,Logistics,Startup,UK,1400,7275.62,87307.4,284429.19,0.264,79.7,0,,27,4.3,17,20.7,49,10,867359,4825.5,Starter,ACH,4272.87,0.384,0,261922.19,2023-09-09
CUST-10013,2024-02-27,2025-05-27,455,Manufacturing,Enterprise,USA,35495,538.71,6464.57,7887.13,0.206,88.4,0,,95,2.4,1,65.6,43,9,849602,3766.6,Professional,Credit Card,1704.72,0.829,6,19393.7,2025-02-26
CUST-10014,2022-04-27,2022-08-17,112,Media,Startup,Mexico,47139,5576.61,66919.35,256545.86,0.379,68.0,0,,45,4.1,16,12.5,48,15,781853,4963.1,Professional,Invoice,4538.56,0.281,10,133838.69,2023-04-27
CUST-10015,2022-06-25,2023-03-08,256,Education,SMB,Brazil,43208,7735.26,92823.1,142519.4,0.219,81.8,0,,-36,4.1,49,44.2,15,10,596053,3303.9,Enterprise,Invoice,2219.04,0.017,0,278469.29,2023-06-25
CUST-10016,2022-03-17,2023-03-20,368,Manufacturing,Enterprise,Mexico,36144,4853.06,58236.7,201215.87,0.206,85.2,0,,-20,4.8,28,13.8,35,9,911270,2474.6,Professional,Invoice,734.51,0.618,0,58236.7,2023-03-17
CUST-10017,2022-08-23,2024-06-24,671,Retail,Enterprise,USA,46833,480.17,5762.01,16684.16,0.159,82.3,0,,-34,4.9,1,49.2,45,18,753212,223.7,Professional,ACH,545.82,0.507,1,480.17,2023-08-23
CUST-10018,2023-05-01,2023-11-26,209,Manufacturing,Startup,Germany,1623,3324.31,39891.74,71795.47,0.31,70.6,0,,-17,3.4,23,24.8,52,12,493549,4712.4,Enterprise,Credit Card,801.56,0.045,2,3324.31,2024-04-30
CUST-10019,2022-08-06,2024-04-21,624,Retail,SMB,France,38191,2192.65,26311.78,41990.19,0.058,87.3,0,,-92,3.6,9,28.1,83,3,81066,4793.1,Professional,Wire,2694.84,0.121,8,2192.65,2023-08-06
CUST-10020,2024-08-25,2026-07-02,676,Retail,SMB,Canada,15935,5291.04,63492.43,129750.65,0.049,100,0,,96,4.9,14,33.4,14,8,466624,3664.0,Custom,ACH,398.45,0.56,1,126984.86,2025-08-25
CUST-10021,2024-09-18,2026-05-31,620,Retail,Mid-Market,France,44183,2379.46,28553.56,92858.02,0.119,99.8,0,,49,3.7,38,19.5,36,11,329089,589.8,Custom,Wire,2525.13,0.148,7,28553.56,2025-09-18
CUST-10022,2023-01-04,2024-04-13,465,Healthcare,Startup,Germany,2238,252.57,3030.86,2796.76,0.148,94.5,0,,10,1.1,10,71.3,16,17,908989,2646.5,Custom,Wire,1771.84,0.402,8,3030.86,2024-01-04
CUST-10023,2023-08-24,2023-12-24,122,Technology,Enterprise,UK,48419,3433.4,41200.83,139526.78,0.229,87.5,0,,-10,4.8,26,45.8,55,10,794464,2385.5,Professional,Invoice,3618.54,0.59,8,3433.4,2024-08-23
CUST-10024,2022-11-08,2022-11-16,8,Finance,Startup,India,47356,5975.18,71702.13,128673.68,0.289,72.9,0,,50,2.1,49,7.9,38,16,357687,241.4,Custom,ACH,1614.0,0.319,2,71702.13,2023-11-08
CUST-10025,2022-03-27,2022-10-29,216,Manufacturing,SMB,Germany,7774,4361.32,52335.87,77137.68,0.324,71.1,0,,-27,2.1,28,16.9,21,10,984827,4588.5,Starter,Invoice,3332.17,0.141,3,52335.87,2023-03-27
CUST-10026,2022-02-26,2023-11-01,613,Logistics,Enterprise,USA,24223,9034.16,108409.91,418407.87,0,97.8,0,,-48,2.1,36,31.3,56,17,132307,4155.2,Enterprise,Credit Card,3581.25,0.919,1,325229.72,2023-02-26
CUST-10027,2024-06-04,2025-10-23,506,Education,Enterprise,UK,48781,2703.26,32439.12,114372.53,0.304,75.3,0,,-44,3.9,20,12.1,42,9,475491,3153.1,Starter,ACH,4461.36,0.038,1,64878.23,2025-06-04
CUST-10028,2023-01-25,2024-08-19,572,Retail,Enterprise,Germany,38431,6644.19,79730.29,284757.33,0.253,81.3,0,,-4,4.5,14,48.8,33,16,158789,2422.5,Professional,Wire,1413.0,0.199,1,79730.29,2024-01-25
CUST-10029,2022-01-07,2023-03-28,445,Manufacturing,Startup,Mexico,24927,764.89,9178.64,22506.76,0.183,88.4,0,,61,3.3,40,25.8,67,6,920534,1500.5,Professional,ACH,3339.88,0.49,10,27535.92,2023-01-07
CUST-10030,2024-01-02,2025-07-12,557,Media,SMB,Australia,21330,4860.49,58325.94,48869.34,0.278,84.4,0,,-37,3.6,7,13.5,40,4,364462,3484.8,Professional,Wire,4200.6,0.864,9,174977.81,2025-01-01
CUST-10031,2023-04-26,2023-05-26,30,Education,Enterprise,Brazil,44241,2979.21,35750.51,81375.53,0.472,56.6,0,,-19,2.6,28,31.2,33,2,281351,2427.5,Professional,ACH,3181.33,0.046,7,107251.54,2024-04-25
CUST-10032,2023-03-30,2024-11-06,587,Finance,SMB,Mexico,35379,8767.66,105211.89,249988.28,0.118,88.2,0,,-95,4.8,1,58.0,11,11,956540,1763.5,Starter,Credit Card,2593.24,0.362,3,105211.89,2024-03-29
CUST-10033,2024-03-21,2024-11-11,235,Technology,Mid-Market,USA,1317,2971.86,35662.27,37977.28,0.181,89.2,0,,93,4.8,6,36.6,62,2,164569,1415.4,Starter,Invoice,3157.78,0.688,0,71324.55,2025-03-21
CUST-10034,2022-09-11,2023-10-03,387,Healthcare,Enterprise,UK,33068,6586.23,79034.78,75808.28,0.186,81.1,0,,84,3.8,46,30.5,1,18,634254,4594.9,Starter,Wire,971.42,0.606,4,158069.57,2023-09-11
CUST-10035,2024-05-20,2025-10-27,525,Media,Startup,Brazil,28154,7459.49,89513.82,139421.26,0.09,93.4,0,,-77,1.9,26,40.8,61,10,951756,3514.4,Professional,Wire,86.06,0.497,6,179027.65,2025-05-20
CUST-10036,2022-08-10,2023-11-17,464,Logistics,SMB,Mexico,7145,2317.2,27806.43,108811.21,0.101,94.1,0,,64,2.2,9,58.5,10,4,588130,846.3,Custom,Invoice,419.44,0.403,7,27806.43,2023-08-10
CUST-10037,2022-05-01,2023-09-19,506,Media,SMB,USA,17578,2594.04,31128.43,49497.08,0.112,93.5,0,,76,1.8,35,57.4,69,16,328221,4797.4,Professional,ACH,2306.86,0.483,8,2594.04,2023-05-01
CUST-10038,2022-08-04,2023-10-14,436,Finance,Enterprise,Japan,28683,7021.63,84259.56,152922.78,0.173,83.2,0,,-71,1.2,27,36.2,80,17,510859,699.3,Custom,Wire,46.29,0.118,4,168519.12,2023-08-04
CUST-10039,2024-12-06,2025-11-02,331,Education,Mid-Market,India,39622,6188.49,74261.94,133724.31,0.182,83.2,0,,-36,2.9,13,67.5,17,6,549850,3575.4,Custom,Credit Card,1588.44,0.179,7,6188.49,2025-12-06
CUST-10040,2022-01-12,2022-11-28,320,Technology,Enterprise,Mexico,30721,7043.5,84522.0,101209.75,0.311,78.2,0,,52,1.6,22,46.2,28,12,659367,70.6,Professional,ACH,1420.94,0.912,6,169044.0,2023-01-12
CUST-10041,2024-01-23,2025-10-24,640,Healthcare,Mid-Market,Mexico,9994,7692.19,92306.27,348001.83,0,97.3,0,,-74,3.9,17,13.7,72,4,132858,3984.4,Custom,ACH,2878.28,0.853,9,184612.55,2025-01-22
CUST-10042,2024-08-27,2025-03-30,215,Finance,Mid-Market,Germany,31165,1763.18,21158.21,68590.19,0.305,75.4,0,,-100,2.3,3,10.7,56,14,697137,2358.4,Enterprise,Credit Card,1203.86,0.393,6,63474.62,2025-08-27
CUST-10043,2023-12-29,2024-11-13,320,Finance,Mid-Market,Brazil,46623,8401.63,100819.55,162259.16,0.339,76.1,0,,-64,4.4,35,32.4,88,9,718660,601.2,Custom,ACH,890.06,0.866,7,201639.1,2024-12-28
CUST-10044,2024-05-18,2024-12-23,219,Finance,SMB,USA,12839,6207.04,74484.53,265688.71,0.317,73.1,0,,13,2.4,12,1.4,39,11,98679,4555.2,Enterprise,Credit Card,3033.87,0.034,4,223453.6,2025-05-18
CUST-10045,2024-03-26,2024-05-10,45,Logistics,Enterprise,Mexico,41439,9956.8,119481.66,354254.23,0.326,75.6,0,,16,3.0,30,54.2,82,18,846652,519.4,Enterprise,Credit Card,3064.6,0.713,2,119481.66,2025-03-26
CUST-10046,2022-06-19,2023-08-23,430,Healthcare,SMB,India,18189,8356.24,100274.85,92051.68,0.026,100,0,,-51,3.6,47,2.2,86,11,941344,3546.5,Enterprise,Credit Card,4702.73,0.403,10,8356.24,2023-06-19
CUST-10047,2022-05-14,2022-11-28,198,Technology,Startup,Brazil,39885,8266.97,99203.65,223737.95,0.263,76.9,0,,-50,3.8,26,13.3,0,10,287061,2802.8,Starter,ACH,2331.26,0.836,1,297610.94,2023-05-14
CUST-10048,2022-06-30,2022-10-28,120,Finance,Enterprise,USA,14260,9187.31,110247.72,125544.96,0.376,72.2,0,,63,2.5,5,63.3,31,10,877981,3404.5,Professional,Invoice,1552.44,0.379,4,110247.72,2023-06-30
CUST-10049,2023-07-26,2023-12-17,144,Finance,Mid-Market,Brazil,17002,5692.9,68314.75,133141.32,0.332,70.0,0,,78,2.8,5,35.8,74,12,365805,3861.9,Custom,Invoice,183.66,0.835,6,68314.75,2024-07-25
CUST-10050,2023-03-08,2025-02-25,720,Manufacturing,SMB,UK,33642,4394.15,52729.78,145588.41,0.02,94.7,0,,97,1.8,13,34.2,4,4,542145,3291.7,Professional,Wire,699.08,0.587,5,158189.35,2024-03-07
CUST-10051,2022-03-11,2023-02-05,331,Logistics,Startup,Canada,22069,7041.75,84501.05,228419.2,0.223,81.7,0,,65,4.6,11,65.8,39,6,489518,2733.9,Starter,Wire,4046.11,0.456,9,253503.14,2023-03-11
CUST-10052,2024-03-28,2025-07-26,485,Manufacturing,Startup,USA,15360,8356.55,100278.65,138786.83,0.087,96.3,0,,95,4.7,32,8.7,54,9,605540,2003.8,Starter,Invoice,2561.02,0.922,9,100278.65,2025-03-28
CUST-10053,2022-10-13,2023-02-24,134,Education,Mid-Market,Australia,25956,6666.72,80000.68,260801.66,0.336,73.8,0,,-58,2.8,42,11.5,22,10,322465,401.9,Professional,Invoice,2182.74,0.724,2,160001.37,2023-10-13
CUST-10054,2022-01-11,2023-05-15,489,Logistics,Mid-Market,France,30379,1676.37,20116.38,17092.83,0.054,94.2,0,,80,2.0,6,28.5,40,5,419308,3866.3,Enterprise,Wire,2984.69,0.534,5,60349.14,2023-01-11
CUST-10055,2022-02-25,2022-10-11,228,Media,Enterprise,UK,42313,8866.32,106395.87,119542.16,0.265,83.5,0,,-42,1.6,12,4.1,38,14,97360,1697.9,Professional,Wire,753.74,0.311,10,319187.61,2023-02-25
CUST-10056,2022-03-13,2022-12-06,268,Logistics,Enterprise,UK,22699,9588.28,115059.31,227366.31,0.318,81.0,0,,75,3.9,41,62.2,1,6,334522,643.7,Custom,Wire,57.94,0.654,10,345177.94,2023-03-13
CUST-10057,2024-05-15,2024-07-10,56,Education,Startup,Australia,46668,3098.25,37179.0,52246.59,0.236,76.0,0,,-15,4.4,23,8.9,22,14,557540,3798.1,Starter,Invoice,34.78,0.948,9,74357.99,2025-05-15
CUST-10058,2023-02-09,2024-07-21,528,Technology,SMB,UK,32092,8146.07,97752.81,297823.56,0.103,92.2,0,,17,2.5,38,49.7,32,14,353854,3375.0,Starter,ACH,893.64,0.357,0,293258.43,2024-02-09
CUST-10059,2023-10-27,2024-08-27,305,Retail,Startup,Germany,5513,6395.23,76742.74,198397.35,0.208,84.5,0,,36,1.4,46,11.3,63,14,936081,1373.5,Custom,Invoice,4593.88,0.904,8,230228.23,2024-10-26
CUST-10060,2022-03-25,2022-06-12,79,Media,Enterprise,India,47544,3332.23,39986.71,25351.81,0.194,79.4,0,,-80,2.4,40,54.2,54,13,23470,919.7,Enterprise,Credit Card,4184.27,0.433,1,39986.71,2023-03-25
CUST-10061,2023-06-19,2024-04-25,311,Education,Enterprise,Mexico,30998,6193.26,74319.08,177403.48,0.264,71.5,0,,-45,4.0,27,20.5,88,6,290302,2507.8,Starter,Wire,4548.73,0.678,4,6193.26,2024-06-18
CUST-10062,2024-04-13,2024-11-12,213,Healthcare,SMB,Japan,14739,284.32,3411.81,6653.5,0.317,77.5,0,,-96,3.8,14,5.5,36,20,867146,2303.2,Custom,ACH,2707.29,0.476,8,284.32,2025-04-13
CUST-10063,2023-12-04,2024-11-17,349,Retail,Startup,India,45731,3263.46,39161.57,132334.78,0.32,82.4,0,,-57,3.7,16,29.6,84,19,82427,3156.9,Enterprise,Credit Card,1037.76,0.985,5,78323.13,2024-12-03
CUST-10064,2023-08-21,2024-07-09,323,Media,SMB,France,1539,4568.84,54826.1,117099.26,0.291,82.2,0,,92,4.9,35,53.8,30,13,965923,2688.0,Custom,Credit Card,484.9,0.218,1,109652.21,2024-08-20
CUST-10065,2023-01-01,2023-06-13,163,Retail,SMB,France,39277,7691.06,92292.71,364126.06,0.408,66.5,0,,-29,2.3,23,45.7,85,11,526704,2678.1,Custom,Invoice,4295.28,0.495,7,184585.41,2024-01-01
CUST-10066,2024-07-09,2024-12-17,161,Logistics,SMB,Germany,44789,9245.71,110948.57,124450.26,0.254,85.6,0,,-75,2.5,41,30.7,53,14,198049,3182.1,Professional,Invoice,3048.53,0.503,1,332845.72,2025-07-09
CUST-10067,2022-02-16,2023-01-15,333,Technology,SMB,Mexico,42873,6136.14,73633.73,79716.32,0.106,86.1,0,,-1,3.2,12,61.4,20,15,386991,3615.3,Professional,Invoice,2360.84,0.713,3,147267.45,2023-02-16
CUST-10068,2022-09-29,2023-07-27,301,Retail,Startup,Germany,30243,740.65,8887.76,5404.77,0.128,87.1,0,,28,3.6,38,60.5,20,8,484664,3610.2,Starter,Credit Card,3743.04,0.682,6,26663.29,2023-09-29
CUST-10069,2024-02-29,2024-05-12,73,Logistics,Enterprise,Australia,47586,7851.12,94213.48,362864.32,0.412,62.9,0,,-85,2.2,25,59.8,5,12,418832,3583.1,Custom,Wire,3937.12,0.104,4,7851.12,2025-02-28
CUST-10070,2022-12-13,2023-12-24,376,Manufacturing,Mid-Market,UK,21633,4186.64,50239.69,84876.0,0.348,67.6,0,,64,3.8,29,64.8,62,8,793751,1300.0,Enterprise,Wire,1653.31,0.45,4,100479.39,2023-12-13
CUST-10071,2022-03-15,2022-08-06,144,Manufacturing,SMB,Brazil,46918,1564.44,18773.25,28338.34,0.308,80.1,0,,-60,3.3,19,34.7,56,10,161943,3718.7,Professional,Invoice,3037.25,0.859,4,18773.25,2023-03-15
CUST-10072,2022-02-27,2022-10-02,217,Logistics,Startup,Mexico,11172,5872.98,70475.77,71833.96,0.356,71.9,0,,-12,3.6,37,61.5,40,17,392547,1889.9,Custom,Invoice,4353.91,0.482,7,211427.3,2023-02-27
CUST-10073,2022-01-30,2023-12-16,685,Healthcare,SMB,Japan,23368,9473.79,113685.45,193070.24,0.043,99.9,0,,27,2.8,40,65.3,67,8,777391,1012.6,Starter,Wire,3132.01,0.952,8,9473.79,2023-01-30
CUST-10074,2023-07-10,2025-01-27,567,Logistics,Enterprise,Mexico,34276,9619.4,115432.75,399757.44,0.077,93.3,0,,-37,2.0,47,14.0,83,8,239431,3448.2,Custom,Invoice,201.16,0.609,8,230865.51,2024-07-09
CUST-10075,2022-07-07,2023-01-18,195,Technology,SMB,Japan,14920,7359.04,88308.47,327724.54,0.314,73.4,0,,-38,3.3,37,34.9,12,18,924467,3907.1,Enterprise,Credit Card,982.13,0.116,1,264925.4,2023-07-07
CUST-10076,2023-02-09,2023-05-23,103,Healthcare,Startup,Australia,42120,5468.45,65621.42,82189.43,0.178,86.3,0,,-51,3.4,40,44.6,58,1,263976,3772.8,Enterprise,Wire,3155.64,0.329,7,131242.83,2024-02-09
CUST-10077,2023-09-06,2024-06-03,271,Logistics,SMB,UK,49590,8684.88,104218.6,142943.84,0.218,88.9,0,,-54,3.0,20,64.4,65,16,519871,815.7,Starter,Wire,3364.88,0.095,7,208437.21,2024-09-05
CUST-10078,2023-01-10,2023-07-28,199,Logistics,SMB,UK,44880,7809.04,93708.47,297054.36,0.295,82.1,0,,-24,4.7,13,41.5,19,11,163984,959.5,Custom,Invoice,4261.79,0.61,2,187416.93,2024-01-10
CUST-10079,2024-11-23,2026-03-24,486,Logistics,SMB,Brazil,24305,6568.56,78822.69,257010.85,0.165,82.9,0,,-63,2.2,46,26.1,40,15,322979,2126.5,Custom,Wire,28.36,0.94,0,236468.06,2025-11-23
CUST-10080,2023-12-26,2025-10-18,662,Retail,Mid-Market,Brazil,19324,8072.17,96866.05,378983.58,0.08,92.6,0,,-5,1.1,27,57.2,41,18,587173,3695.1,Professional,Wire,4282.02,0.107,3,96866.05,2024-12-25
CUST-10081,2023-10-29,2025-03-04,492,Logistics,Startup,Japan,18364,9419.79,113037.51,291104.46,0.379,66.1,0,,55,3.3,3,8.2,81,11,289455,2689.5,Custom,ACH,555.15,0.134,1,226075.01,2024-10-28
CUST-10082,2024-04-27,2024-09-30,156,Retail,Startup,Canada,37539,8751.11,105013.33,269288.75,0.171,83.4,0,,39,4.1,16,40.5,37,1,147290,3860.5,Starter,ACH,4786.0,0.361,7,105013.33,2025-04-27
CUST-10083,2023-01-13,2023-12-08,329,Manufacturing,SMB,Mexico,49003,4735.43,56825.18,120060.97,0.14,95.3,0,,-95,1.6,41,30.2,50,16,836865,240.2,Starter,ACH,81.01,0.437,0,113650.35,2024-01-13
CUST-10084,2024-10-04,2025-07-21,290,Finance,Enterprise,India,5754,5789.67,69476.08,188996.36,0.218,76.1,0,,46,4.7,39,47.2,24,3,804378,3419.8,Enterprise,Wire,2256.44,0.881,2,138952.16,2025-10-04
CUST-10085,2022-05-30,2022-12-03,187,Technology,Startup,France,37671,6512.61,78151.38,132023.78,0.122,88.9,0,,-25,1.0,24,2.3,28,11,447898,752.5,Professional,ACH,2661.82,0.654,3,156302.75,2023-05-30
CUST-10086,2022-11-09,2023-05-22,194,Finance,Enterprise,India,22845,7751.62,93019.45,113623.69,0.28,78.7,0,,-83,2.3,20,66.9,84,7,211499,1514.6,Custom,ACH,1164.89,0.92,5,7751.62,2023-11-09
CUST-10087,2022-10-09,2024-01-03,451,Media,Mid-Market,USA,29287,1317.79,15813.48,60376.62,0.363,72.5,0,,12,2.6,13,55.7,75,4,97362,4846.2,Starter,Invoice,3783.03,0.12,7,31626.96,2023-10-09
CUST-10088,2023-10-11,2024-12-10,426,Healthcare,SMB,Australia,1063,1989.71,23876.56,94265.43,0.204,79.2,0,,-99,2.5,26,29.4,12,12,377898,4728.7,Starter,Wire,4729.7,0.652,3,1989.71,2024-10-10
CUST-10089,2024-03-09,2025-07-05,483,Finance,Enterprise,Japan,11628,255.92,3070.98,11899.51,0.124,79.5,0,,44,1.0,33,12.1,88,16,799316,195.0,Professional,ACH,1858.52,0.415,2,9212.95,2025-03-09
CUST-10090,2022-12-20,2023-06-17,179,Education,Mid-Market,UK,10646,9368.29,112419.44,436024.5,0.267,69.5,0,,-93,3.0,19,29.7,47,9,652123,1605.4,Starter,ACH,142.48,0.471,2,337258.32,2023-12-20
CUST-10091,2022-04-06,2023-10-11,553,Education,Enterprise,Japan,6042,3831.66,45979.97,119307.73,0.065,94.4,0,,7,5.0,7,69.8,59,14,897728,4490.7,Custom,Invoice,4284.58,0.809,0,91959.94,2023-04-06
CUST-10092,2024-09-02,2025-12-27,481,Logistics,Enterprise,Australia,49073,9004.54,108054.42,151169.83,0.097,97.8,0,,46,1.8,14,37.5,18,8,691231,410.9,Starter,Wire,1411.5,0.615,3,108054.42,2025-09-02
CUST-10093,2023-05-29,2023-12-05,190,Finance,SMB,Canada,27662,7326.3,87915.6,136610.16,0.245,75.0,0,,-5,3.6,37,53.3,4,13,662574,240.1,Professional,Invoice,71.61,0.635,3,87915.6,2024-05-28
CUST-10094,2024-03-23,2025-02-17,331,Logistics,Startup,Japan,29705,214.95,2579.45,5630.2,0.254,77.1,0,,59,2.1,28,9.4,35,17,968764,1686.8,Professional,ACH,1704.91,0.872,8,7738.34,2025-03-23
CUST-10095,2022-07-17,2024-06-01,685,Technology,Startup,India,8277,8575.52,102906.27,326361.33,0.054,100,0,,-76,1.9,29,59.9,15,18,747315,1478.6,Enterprise,ACH,2262.82,0.553,1,102906.27,2023-07-17
CUST-10096,2024-03-25,2025-08-31,524,Finance,SMB,Mexico,34775,2028.29,24339.5,83728.99,0.138,89.9,0,,34,1.2,34,26.7,29,17,174853,1872.4,Starter,Invoice,3174.54,0.859,3,24339.5,2025-03-25
CUST-10097,2024-05-18,2024-12-12,208,Logistics,Startup,Australia,21102,2855.37,34264.46,132147.7,0.344,71.1,0,,-66,3.9,19,1.0,32,18,700574,1558.0,Starter,Credit Card,3775.85,0.14,7,34264.46,2025-05-18
CUST-10098,2023-05-12,2024-06-16,401,Healthcare,SMB,Japan,18107,7883.5,94601.97,261224.05,0.134,91.3,0,,-65,4.6,7,52.5,74,5,215829,2216.9,Enterprise,ACH,53.85,0.117,4,7883.5,2024-05-11
CUST-10099,2024-08-22,2025-04-17,238,Finance,Startup,UK,49435,6637.17,79646.07,123123.08,0.369,76.3,0,,84,2.4,17,68.4,5,13,878683,4455.6,Starter,Wire,2129.55,0.168,7,159292.13,2025-08-22
CUST-10100,2023-04-06,2024-09-23,536,Retail,SMB,Australia,45984,1119.2,13430.36,53608.87,0.022,94.2,0,,10,2.7,40,8.5,35,9,948679,1258.4,Enterprise,Wire,3334.89,0.251,5,1119.2,2024-04-05
CUST-10101,2022-01-27,2022-05-11,104,Manufacturing,Startup,UK,46439,7158.65,85903.76,188938.5,0.247,78.5,0,,24,3.2,36,27.7,66,13,44146,3008.3,Starter,Credit Card,587.37,0.764,5,257711.28,2023-01-27
CUST-10102,2024-03-17,2024-04-27,41,Media,Enterprise,France,43853,3537.31,42447.77,138315.09,0.411,61.9,0,,-94,1.9,11,2.7,42,4,306474,4603.3,Starter,Wire,4247.15,0.254,10,84895.54,2025-03-17
CUST-10103,2023-12-23,2024-09-03,255,Finance,SMB,Japan,36605,2837.66,34051.94,110429.9,0.175,92.9,0,,97,4.5,41,23.9,51,12,818904,4077.3,Custom,Credit Card,1668.82,0.616,3,68103.88,2024-12-22
CUST-10104,2023-09-19,2024-01-01,104,Media,Mid-Market,Japan,17351,9149.3,109791.55,89646.31,0.191,88.6,0,,81,2.9,21,58.2,46,6,176730,1613.8,Starter,Invoice,2909.23,0.909,10,219583.1,2024-09-18
CUST-10105,2022-12-31,2024-02-12,408,Manufacturing,Startup,Germany,46921,6221.86,74662.35,57174.47,0.314,79.3,0,,-13,3.1,25,10.4,49,4,886056,4780.4,Enterprise,Credit Card,1619.18,0.225,0,74662.35,2023-12-31
CUST-10106,2022-11-14,2024-09-28,684,Retail,Mid-Market,Japan,28864,9926.51,119118.06,70548.52,0.094,100,0,,65,4.2,9,1.9,31,1,899186,3061.1,Custom,Wire,2781.61,0.998,3,357354.18,2023-11-14
CUST-10107,2023-01-17,2024-07-02,532,Education,SMB,Brazil,28271,5849.87,70198.4,189212.26,0.344,63.5,0,,-6,2.5,15,23.7,45,3,726871,672.5,Professional,Invoice,483.11,0.917,8,210595.2,2024-01-17
CUST-10108,2023-10-05,2024-01-21,108,Logistics,Mid-Market,Brazil,37639,8090.81,97089.72,253823.66,0.276,70.1,0,,-87,2.8,28,36.3,55,3,999464,4978.9,Starter,Wire,2794.98,0.058,5,291269.17,2024-10-04
CUST-10109,2022-10-30,2023-01-04,66,Logistics,Enterprise,France,46156,6850.87,82210.43,59926.86,0.298,69.8,0,,95,4.8,25,16.3,57,10,564548,3486.0,Enterprise,ACH,1162.82,0.798,8,246631.3,2023-10-30
CUST-10110,2022-10-23,2024-04-28,553,Education,Enterprise,Mexico,7848,9802.77,117633.21,300441.53,0.296,66.2,0,,98,4.9,39,5.5,52,6,768140,973.1,Professional,Invoice,147.44,0.929,1,235266.42,2023-10-23
