Date,Week,Month,Quarter,Year,Channel,Channel_Type,Campaign,Campaign_Objective,Target_Audience,Impressions,Reach,Clicks,CTR_Pct,CPC,Spend,Leads,CPL,MQLs,SQLs,Opportunities,Deals_Closed,Revenue_Attributed,ROI_Pct,ROAS,Conversion_Rate_Pct,Avg_Order_Value,Bounce_Rate_Pct,Time_On_Page_Sec,Video_Views,Email_Open_Rate_Pct,Email_CTR_Pct,Unsubscribes,Social_Shares,Comments,Brand_Mentions,Attribution_Model
2023-04-11,15,April,Q2,2023,Trade Show,Earned,Nurture Series,Lead Gen,Developer,4684453,3823211,229016,4.89,2.17,497749.34,5965,83.44,1722,685,217,73,3149783.07,532.8,6.33,2.6,14515.13,20.8,359,9052,0,0,0,2647,490,352,Time Decay
2024-02-02,5,February,Q1,2024,YouTube,Earned,Lead Magnet,Retention,SMB Owner,4800668,3798719,134200,2.8,11.64,1561854.46,9383,166.46,2920,1088,349,131,5851073.55,274.6,3.75,6.99,16765.25,41.6,176,272536,0,0,0,4978,410,556,Time Decay
2022-01-31,5,January,Q1,2022,Webinar,Earned,Brand Awareness Q1,Brand,IT Manager,560332,389713,33391,5.96,6.13,204798.89,1877,109.11,556,186,33,9,302247.57,47.6,1.48,5.62,9159.02,25.6,248,6852,0,0,0,4588,35,306,Data-Driven
2022-04-30,17,April,Q2,2022,LinkedIn,Earned,Partner Co-Mktg,Conversion,CFO,3001725,2072355,64526,2.15,0.8,51439.32,2635,19.52,1031,329,93,38,1207407.92,2247.2,23.47,4.08,12982.88,49.9,204,5293,0,0,0,74,272,288,Last Touch
2023-05-08,19,May,Q2,2023,Influencer,Paid,Nurture Series,Brand,Enterprise VP,1182439,826877,85811,7.26,3.02,259542.15,3703,70.09,747,156,19,3,272346.79,4.9,1.05,4.32,14334.04,72.4,130,5367,0,0,0,4379,173,322,Time Decay
2023-08-01,31,August,Q3,2023,YouTube,Earned,Retargeting Wave,Lead Gen,CMO,242543,193342,8201,3.38,12.59,103286.65,589,175.36,207,51,7,2,65222.35,-36.9,0.63,7.19,9317.48,40.3,318,188133,0,0,0,1485,476,227,First Touch
2023-10-22,42,October,Q4,2023,Twitter/X,Earned,Partner Co-Mktg,Lead Gen,Enterprise VP,4512564,3543134,334478,7.41,2.52,842831.93,17578,47.95,3839,791,275,37,3382353.39,301.3,4.01,5.26,12299.47,29.5,517,4841,0,0,0,1285,307,142,Last Touch
2022-02-24,8,February,Q1,2022,SEO,Owned,Partner Co-Mktg,Retention,SMB Owner,730916,484578,25980,3.55,8.35,217006.38,2457,88.32,1381,425,73,32,287168.3,32.3,1.32,9.46,3933.81,70.1,425,3625,0,0,0,1033,419,363,First Touch
2023-03-18,11,March,Q1,2023,Meta Ads,Paid,Partner Co-Mktg,Brand,Enterprise VP,1935648,1501117,94803,4.9,7.75,734876.76,4098,179.33,2098,936,95,13,327642.01,-55.4,0.45,4.32,3448.86,34.4,269,3467,0,0,0,3061,316,231,Time Decay
2024-09-24,39,September,Q3,2024,Meta Ads,Paid,ABM Enterprise,Retention,Enterprise VP,519367,423482,2677,0.52,9.87,26418.91,80,330.24,34,10,1,0,3351.39,-87.3,0.13,3.02,3351.39,49.5,546,6036,0,0,0,2899,496,614,Linear
2022-01-06,1,January,Q1,2022,Influencer,Paid,Retargeting Wave,Lead Gen,Enterprise VP,3771654,2528139,182746,4.85,9.51,1738629.29,19889,87.42,5782,1651,551,267,8086282.11,365.1,4.65,10.88,14675.65,59.1,499,7626,0,0,0,4378,393,77,Linear
2023-11-10,45,November,Q4,2023,Webinar,Earned,ABM Enterprise,Lead Gen,Enterprise VP,2430553,1906242,92560,3.81,4.68,432729.84,3420,126.53,701,295,83,38,1570951.6,263.0,3.63,3.7,18927.13,75.2,482,8174,0,0,0,3505,496,430,Time Decay
2023-11-28,48,November,Q4,2023,Google Ads,Paid,Summer Sale,Conversion,IT Manager,2891721,2209945,52801,1.83,7.33,386952.41,5733,67.5,2105,499,167,43,604933.96,56.3,1.56,10.86,3622.36,24.5,81,2553,0,0,0,1081,125,70,First Touch
2024-03-11,11,March,Q1,2024,Trade Show,Earned,Product Launch,Lead Gen,Enterprise VP,4590361,3423896,256975,5.6,6.91,1774691.46,13491,131.55,7155,2788,449,141,2379004.75,34.1,1.34,5.25,5298.45,55.1,93,2261,0,0,0,3101,419,651,Data-Driven
2023-08-06,31,August,Q3,2023,Twitter/X,Earned,Brand Awareness Q1,Brand,Enterprise VP,4301241,2896680,140102,3.26,3.7,518337.95,9075,57.12,2116,960,270,116,1148855.4,121.6,2.22,6.48,4255.02,66.4,271,9335,0,0,0,4406,289,929,Last Touch
2023-05-14,19,May,Q2,2023,Influencer,Paid,Product Launch,Retention,Developer,614623,546604,12623,2.05,4.26,53836.71,604,89.13,279,97,20,7,248916.26,362.4,4.62,4.79,12445.81,26.2,587,3304,0,0,0,4070,211,350,Data-Driven
2022-05-27,21,May,Q2,2022,Content,Owned,ABM Enterprise,Lead Gen,Enterprise VP,1765202,1285757,130538,7.4,2.52,329241.0,2658,123.87,1359,543,59,12,475704.45,44.5,1.44,2.04,8062.79,45.9,245,6042,0,0,0,521,412,147,Time Decay
2023-01-10,2,January,Q1,2023,SEO,Owned,Partner Co-Mktg,Upsell,IT Manager,2651151,2368083,200771,7.57,3.7,742613.13,19847,37.42,5945,2883,604,123,4921942.75,562.8,6.63,9.89,8148.91,46.5,320,9644,0,0,0,3488,81,168,Linear
2023-08-13,32,August,Q3,2023,Influencer,Paid,Lead Magnet,Retention,CFO,3084720,2205338,207554,6.73,0.81,169024.35,11363,14.87,2900,585,131,61,396598.63,134.6,2.35,5.47,3027.47,71.5,166,888,0,0,0,3454,392,129,Time Decay
2024-05-05,18,May,Q2,2024,Influencer,Paid,Nurture Series,Lead Gen,CTO,4129789,2640162,76191,1.84,14.2,1081724.63,6961,155.4,3347,1285,353,50,1659969.02,53.5,1.53,9.14,4702.46,46.2,400,71,0,0,0,1524,75,806,Last Touch
2023-08-23,34,August,Q3,2023,Trade Show,Earned,Holiday Push,Upsell,IT Manager,3872083,3319888,179114,4.63,12.93,2315397.01,20211,114.56,9695,4061,413,63,7540885.42,225.7,3.26,11.28,18258.8,27.0,552,4772,0,0,0,425,234,24,Last Touch
2023-04-17,16,April,Q2,2023,Twitter/X,Earned,Retargeting Wave,Retention,Enterprise VP,4444443,3641514,66873,1.5,4.74,317163.37,4755,66.7,2550,1231,473,76,7377068.66,2226.0,23.26,7.11,15596.34,23.4,296,5188,0,0,0,524,367,944,Time Decay
2024-09-26,39,September,Q3,2024,Webinar,Earned,Partner Co-Mktg,Lead Gen,CTO,3736170,2368160,21973,0.59,3.36,73793.91,1742,42.36,815,370,124,61,2015772.85,2631.6,27.32,7.93,16256.23,73.0,175,443,0,0,0,401,456,909,Data-Driven
2023-08-22,34,August,Q3,2023,Podcast,Earned,Holiday Push,Upsell,IT Manager,2252685,1367114,32635,1.45,12.35,402978.56,3102,129.91,1699,443,176,73,817355.85,102.8,2.03,9.51,4644.07,30.0,573,9916,0,0,0,3321,255,741,First Touch
2023-02-28,9,February,Q1,2023,Webinar,Earned,Brand Awareness Q1,Upsell,CFO,74207,64943,5111,6.89,9.78,49994.1,193,259.04,109,50,18,3,219387.28,338.8,4.39,3.79,12188.18,62.9,73,1863,0,0,0,1538,74,267,Data-Driven
2024-01-27,4,January,Q1,2024,Meta Ads,Paid,Nurture Series,Retention,CTO,4731549,3513449,353870,7.48,5.93,2097000.38,35647,58.83,20947,9685,1193,494,21508571.75,925.7,10.26,10.07,18028.98,51.8,81,8861,0,0,0,399,110,974,Data-Driven
2024-11-09,45,November,Q4,2024,YouTube,Earned,Demand Gen,Conversion,CTO,300660,242371,7948,2.64,9.75,77507.56,133,582.76,29,7,1,0,8006.76,-89.7,0.1,1.67,8006.76,31.5,125,143885,0,0,0,4219,330,222,Time Decay
2023-09-28,39,September,Q3,2023,Trade Show,Earned,Partner Co-Mktg,Conversion,IT Manager,2682995,1698327,84299,3.14,1.22,103191.32,1233,83.69,561,129,28,12,522542.71,406.4,5.06,1.46,18662.24,47.0,288,591,0,0,0,747,492,949,Data-Driven
2022-03-18,11,March,Q1,2022,LinkedIn,Earned,Summer Sale,Retention,CTO,3881483,2453139,249475,6.43,10.03,2501570.74,13603,183.9,6019,2456,721,220,3231533.33,29.2,1.29,5.45,4482.02,43.4,549,6920,0,0,0,924,43,582,Data-Driven
2024-08-20,34,August,Q3,2024,Webinar,Earned,ABM Enterprise,Brand,CFO,3679746,3278263,116716,3.17,11.17,1303685.71,7860,165.86,3659,907,108,33,1885767.48,44.6,1.45,6.73,17460.81,42.5,281,5841,0,0,0,4416,34,602,Linear
2024-05-14,20,May,Q2,2024,Content,Owned,Demand Gen,Lead Gen,CFO,3689736,2390088,213706,5.79,8.41,1797004.35,7941,226.29,4611,2288,625,162,7542941.65,319.8,4.2,3.72,12068.71,28.5,499,7896,0,0,0,2745,286,44,First Touch
2023-11-08,45,November,Q4,2023,Podcast,Earned,Product Launch,Upsell,CFO,2246501,1485729,167762,7.47,6.7,1124420.84,10625,105.83,5818,1171,424,195,1885391.63,67.7,1.68,6.33,4446.68,47.7,510,6295,0,0,0,3522,303,573,Last Touch
2023-06-07,23,June,Q2,2023,Content,Owned,Partner Co-Mktg,Brand,CMO,585118,351846,30922,5.28,12.26,379091.01,2724,139.17,724,172,43,13,812530.68,114.3,2.14,8.81,18896.06,69.1,27,8768,0,0,0,4622,473,483,Last Touch
2022-01-17,3,January,Q1,2022,Twitter/X,Earned,Summer Sale,Brand,Developer,3831909,2875383,239166,6.24,3.74,895562.85,25149,35.61,13526,6560,2217,346,21390243.01,2288.5,23.88,10.52,9648.28,27.7,512,8256,0,0,0,3194,101,1,Data-Driven
2022-05-06,18,May,Q2,2022,Google Ads,Paid,Nurture Series,Retention,CMO,3713675,3218027,271302,7.31,2.62,711676.54,4146,171.65,1063,486,69,33,431696.01,-39.3,0.61,1.53,6256.46,40.9,515,7324,0,0,0,3847,48,775,Data-Driven
2024-05-24,21,May,Q2,2024,Meta Ads,Paid,Holiday Push,Retention,CFO,4863236,2977309,236802,4.87,7.38,1748470.88,12167,143.71,5887,1944,644,221,5378301.36,207.6,3.08,5.14,8351.4,60.9,556,3842,0,0,0,1595,147,797,Linear
2022-02-02,5,February,Q1,2022,Google Ads,Paid,Retargeting Wave,Retention,SMB Owner,3076645,2030854,50535,1.64,14.07,711252.45,5172,137.52,2989,1482,317,119,4563724.21,541.6,6.42,10.24,14396.61,27.6,110,9493,0,0,0,622,389,264,Last Touch
2022-01-28,4,January,Q1,2022,Trade Show,Earned,Lead Magnet,Brand,CTO,179267,156385,5761,3.21,4.63,26647.23,483,55.17,178,76,15,3,238162.82,793.8,8.94,8.39,15877.52,64.7,118,718,0,0,0,567,203,725,Last Touch
2024-05-08,19,May,Q2,2024,Google Ads,Paid,ABM Enterprise,Upsell,IT Manager,258781,222307,11074,4.28,2.45,27142.15,535,50.73,229,60,10,4,96401.64,255.2,3.55,4.84,9640.16,32.2,346,4735,0,0,0,4158,256,730,Last Touch
2024-01-04,1,January,Q1,2024,Trade Show,Earned,Demand Gen,Retention,Enterprise VP,749757,536977,37494,5.0,2.06,77352.22,2727,28.37,1060,241,42,8,219579.64,183.9,2.84,7.28,5228.09,69.9,179,375,0,0,0,1701,46,965,Time Decay
2022-10-12,41,October,Q4,2022,Twitter/X,Earned,Product Launch,Retention,Enterprise VP,3420768,2184368,125700,3.67,2.62,329417.48,8425,39.1,2730,987,176,17,3138950.28,852.9,9.53,6.7,17834.94,68.7,164,340,0,0,0,4473,200,680,First Touch
2022-06-26,25,June,Q2,2022,SEO,Owned,Summer Sale,Retention,Enterprise VP,3163423,2090628,203228,6.42,5.13,1043500.26,15204,68.63,6443,1941,315,38,1037357.15,-0.6,0.99,7.48,3293.2,58.7,222,3841,0,0,0,2623,460,430,Last Touch
2024-02-21,8,February,Q1,2024,YouTube,Earned,Retargeting Wave,Brand,SMB Owner,1685201,1235269,111032,6.59,1.8,199461.54,1821,109.53,890,335,86,12,1041131.37,422.0,5.22,1.64,12106.18,20.2,337,447536,0,0,0,4355,495,45,Last Touch
2024-12-14,50,December,Q4,2024,Twitter/X,Earned,Brand Awareness Q1,Upsell,Enterprise VP,1935756,1295087,58448,3.02,14.3,835904.0,998,837.58,416,200,65,30,824679.01,-1.3,0.99,1.71,12687.37,62.4,474,6834,0,0,0,3479,45,248,Time Decay
2024-03-17,11,March,Q1,2024,LinkedIn,Earned,Summer Sale,Conversion,Developer,4478751,4009568,330147,7.37,0.86,283471.43,31950,8.87,7442,3687,1114,450,9878108.09,3384.7,34.85,9.68,8867.24,38.2,489,4201,0,0,0,3751,433,3,Linear
2023-03-28,13,March,Q1,2023,Meta Ads,Paid,Partner Co-Mktg,Retention,CMO,741520,579422,5728,0.77,5.56,31838.21,402,79.2,114,49,8,2,138474.8,334.9,4.35,7.03,17309.35,37.4,162,1550,0,0,0,4568,299,127,Linear
2022-10-14,41,October,Q4,2022,Twitter/X,Earned,Holiday Push,Retention,IT Manager,3542592,2858955,178831,5.05,7.38,1319482.52,9818,134.39,5354,2111,690,96,1742245.35,32.0,1.32,5.49,2524.99,49.7,427,2052,0,0,0,4348,277,829,Last Touch
2024-04-17,16,April,Q2,2024,Email,Owned,Product Launch,Retention,IT Manager,3628588,2364276,166392,4.59,13.64,2269213.32,13867,163.64,2909,1217,266,43,4157784.39,83.2,1.83,8.33,15630.77,45.5,465,7272,30.6,10.7,2,4668,358,704,Last Touch
2024-07-05,27,July,Q3,2024,Twitter/X,Earned,Demand Gen,Upsell,CTO,3331965,2462788,38057,1.14,6.23,237095.72,3800,62.39,1016,370,108,35,1477610.3,523.2,6.23,9.99,13681.58,34.5,345,9266,0,0,0,4386,54,138,Linear
2023-12-01,48,December,Q4,2023,YouTube,Earned,Retargeting Wave,Upsell,CFO,3999188,3550789,164048,4.1,2.71,444284.95,7463,59.53,3293,1148,216,67,2420575.95,444.8,5.45,4.55,11206.37,39.0,94,481535,0,0,0,2383,63,791,Time Decay
2022-08-12,32,August,Q3,2022,Webinar,Earned,Partner Co-Mktg,Conversion,Developer,2766400,1736866,114012,4.12,8.95,1020330.89,8309,122.8,4830,1167,451,141,7814909.3,665.9,7.66,7.29,17327.96,24.8,136,5052,0,0,0,4305,219,40,First Touch
2024-01-10,2,January,Q1,2024,Google Ads,Paid,Holiday Push,Conversion,Enterprise VP,37597,27781,2213,5.89,3.16,6999.09,87,80.45,41,10,3,0,34328.92,390.5,4.9,3.97,11442.97,34.0,37,2314,0,0,0,4830,100,18,First Touch
2022-07-28,30,July,Q3,2022,Influencer,Paid,Brand Awareness Q1,Retention,Enterprise VP,1258666,998044,38379,3.05,0.69,26531.21,3101,8.56,1105,428,106,25,406282.05,1431.3,15.31,8.08,3832.85,79.7,185,3720,0,0,0,1548,208,619,Last Touch
2022-09-01,35,September,Q3,2022,Twitter/X,Earned,Nurture Series,Lead Gen,IT Manager,4705276,3742399,29058,0.62,2.94,85376.73,424,201.36,217,75,11,2,207220.12,142.7,2.43,1.46,18838.19,35.6,482,5955,0,0,0,1959,240,967,Linear
2022-02-20,7,February,Q1,2022,Influencer,Paid,Lead Magnet,Conversion,IT Manager,2740984,2202344,115426,4.21,11.84,1366352.02,2322,588.44,1060,300,65,30,873290.18,-36.1,0.64,2.01,13435.23,35.3,409,8892,0,0,0,4038,403,213,Linear
2023-09-15,37,September,Q3,2023,SEO,Owned,Partner Co-Mktg,Conversion,Developer,3127247,2358676,66970,2.14,5.29,354233.94,1152,307.49,405,133,35,12,383633.39,8.3,1.08,1.72,10960.95,72.4,538,3248,0,0,0,2430,287,759,Last Touch
2023-12-25,52,December,Q4,2023,Twitter/X,Earned,Demand Gen,Conversion,CMO,4589842,2966310,348150,7.59,9.63,3354329.62,36212,92.63,19295,5108,2010,892,33531769.94,899.7,10.0,10.4,16682.47,68.7,504,5978,0,0,0,4296,241,4,Data-Driven
2023-08-19,33,August,Q3,2023,Email,Owned,Retargeting Wave,Retention,SMB Owner,1335359,1077838,84108,6.3,9.93,835313.85,7978,104.7,3542,940,327,146,1769244.58,111.8,2.12,9.49,5410.53,21.9,44,5006,22.8,1.8,184,261,305,179,Data-Driven
2023-07-06,27,July,Q3,2023,Webinar,Earned,Retargeting Wave,Upsell,CTO,3888961,3146491,67624,1.74,12.43,840539.96,1056,795.97,294,73,28,7,343515.6,-59.1,0.41,1.56,12268.41,74.9,521,2324,0,0,0,4835,161,276,Linear
2022-01-10,2,January,Q1,2022,Email,Owned,Brand Awareness Q1,Conversion,CFO,4717311,2863161,350983,7.44,1.42,498331.55,8826,56.46,3739,1141,235,40,3217946.38,545.7,6.46,2.51,13693.39,53.7,339,3436,23.7,13.4,35,3801,305,271,Last Touch
2023-04-04,14,April,Q2,2023,Trade Show,Earned,Nurture Series,Lead Gen,IT Manager,2774372,1962565,53009,1.91,12.06,639477.52,4756,134.46,1142,277,82,37,962191.02,50.5,1.5,8.97,11734.04,69.0,172,9033,0,0,0,3556,430,691,Time Decay
2023-01-11,2,January,Q1,2023,Twitter/X,Earned,Nurture Series,Conversion,CTO,2886228,1956467,38461,1.33,1.24,47735.18,1922,24.84,556,143,44,17,322383.52,575.4,6.75,5.0,7326.9,78.6,102,9578,0,0,0,1901,165,96,First Touch
2024-09-03,36,September,Q3,2024,Twitter/X,Earned,Product Launch,Retention,CMO,2554797,1949680,78691,3.08,5.68,447236.16,7329,61.02,2110,709,77,11,1186950.5,165.4,2.65,9.31,15414.94,47.3,273,7246,0,0,0,2049,197,97,Last Touch
2022-06-27,26,June,Q2,2022,Twitter/X,Earned,Summer Sale,Lead Gen,Developer,2664051,1937549,179248,6.73,5.93,1063120.09,10136,104.89,4954,2283,342,104,3008005.81,182.9,2.83,5.65,8795.34,51.5,543,7242,0,0,0,3213,81,14,Data-Driven
2022-05-02,18,May,Q2,2022,Webinar,Earned,Summer Sale,Retention,Enterprise VP,4791062,3584775,108053,2.26,9.25,999582.8,6209,160.99,1291,585,220,27,2674188.27,167.5,2.68,5.75,12155.4,40.1,357,9669,0,0,0,4422,73,939,Last Touch
2024-05-07,19,May,Q2,2024,Trade Show,Earned,Demand Gen,Upsell,CTO,1909945,1322776,106484,5.58,1.95,207579.3,3094,67.09,1560,443,74,17,1155900.98,456.8,5.57,2.91,15620.28,76.1,318,2494,0,0,0,468,74,378,Data-Driven
2023-05-12,19,May,Q2,2023,Webinar,Earned,Holiday Push,Conversion,Developer,2498959,1777573,81141,3.25,12.96,1051246.95,2103,499.88,568,236,31,7,169860.1,-83.8,0.16,2.59,5479.36,31.1,85,1805,0,0,0,2713,149,604,First Touch
2023-08-08,32,August,Q3,2023,Twitter/X,Earned,Retargeting Wave,Brand,CTO,2171642,1749698,42469,1.96,1.73,73627.35,4399,16.74,1237,358,82,36,1024444.24,1291.4,13.91,10.36,12493.22,59.9,515,7924,0,0,0,972,347,657,First Touch
2023-10-19,42,October,Q4,2023,Google Ads,Paid,ABM Enterprise,Brand,IT Manager,3423554,2273544,54882,1.6,8.98,492616.73,6276,78.49,3605,1375,298,49,4694708.58,853.0,9.53,11.44,15754.06,26.7,457,2314,0,0,0,683,380,54,Data-Driven
2024-09-28,39,September,Q3,2024,Email,Owned,Holiday Push,Retention,Developer,1306433,973572,21889,1.68,9.11,199380.49,811,245.85,346,77,15,6,71215.62,-64.3,0.36,3.71,4747.71,41.5,598,8418,37.3,7.8,113,2392,177,870,Data-Driven
2022-06-15,24,June,Q2,2022,Content,Owned,Demand Gen,Lead Gen,SMB Owner,1649334,1234213,15233,0.92,4.48,68173.44,237,287.65,124,31,4,1,52403.75,-23.1,0.77,1.56,13100.94,73.2,337,5672,0,0,0,452,87,608,Linear
2024-10-27,43,October,Q4,2024,Webinar,Earned,Nurture Series,Retention,Enterprise VP,3797592,3064398,235801,6.21,1.18,279388.33,19180,14.57,4200,850,284,105,4509704.58,1514.1,16.14,8.13,15879.24,37.9,90,8789,0,0,0,1197,122,807,Time Decay
2024-10-31,44,October,Q4,2024,Meta Ads,Paid,Summer Sale,Lead Gen,CMO,375580,256988,4005,1.07,4.03,16148.2,282,57.26,71,17,1,0,15131.68,-6.3,0.94,7.04,15131.68,52.7,183,2439,0,0,0,23,50,240,Data-Driven
2022-12-13,50,December,Q4,2022,Content,Owned,Summer Sale,Retention,CMO,1981096,1435503,35730,1.8,11.68,417281.72,3266,127.77,1548,345,112,11,900630.52,115.8,2.16,9.14,8041.34,52.2,108,7846,0,0,0,2011,377,389,Data-Driven
2022-01-26,4,January,Q1,2022,Trade Show,Earned,Nurture Series,Brand,Developer,4281544,2633604,211672,4.94,4.94,1045812.06,13434,77.85,5277,1128,120,34,362799.63,-65.3,0.35,6.35,3023.33,20.5,136,7105,0,0,0,1977,137,574,Linear
2022-02-26,8,February,Q1,2022,Twitter/X,Earned,Lead Magnet,Brand,SMB Owner,4473243,3039342,303492,6.78,5.15,1562769.71,9054,172.61,3472,1245,154,54,407717.94,-73.9,0.26,2.98,2647.52,41.7,392,6886,0,0,0,4960,241,145,Data-Driven
2024-03-20,12,March,Q1,2024,Content,Owned,Summer Sale,Upsell,SMB Owner,2839969,2057790,97159,3.42,2.17,210428.27,2960,71.09,1098,245,56,8,829922.81,294.4,3.94,3.05,14820.05,45.5,382,6566,0,0,0,872,68,759,Time Decay
2024-02-21,8,February,Q1,2024,Trade Show,Earned,Holiday Push,Conversion,Developer,4563587,4097306,97692,2.14,0.87,84626.81,4882,17.33,1381,316,83,13,1420579.4,1578.6,16.79,5.0,17115.41,28.4,315,6238,0,0,0,563,154,304,Time Decay
2024-02-20,8,February,Q1,2024,LinkedIn,Earned,Summer Sale,Conversion,CMO,4146977,3267249,152690,3.68,11.05,1687080.65,1541,1094.8,894,208,71,10,611584.85,-63.7,0.36,1.01,8613.87,31.1,543,3715,0,0,0,923,307,406,Data-Driven
